r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,score,source
0.9,0.1,0.7,12,16,injection,0,True,,0.74416103577229,0.999994105109345,0.2122183784613341,0.5863404834317931,0.002427946746855831,1.0,8.28567273686381e-08,242,356,0.3973973431286402,grid
0.9,0.1,0.7,12,32,injection,0,True,,0.7434834839411497,0.9999985206349615,0.21218518354855181,0.5873838529910106,0.001216292410258534,1.0,8.28567273686381e-08,482,708,0.3971853213619174,grid
0.9,0.1,0.8,8,8,injection,0,True,,0.7560200813186455,0.9999786650406239,0.2559300920866805,0.5680811455967143,0.00461902744804836,1.0,3.636982129131287e-08,122,180,0.43987303739972583,grid
0.9,0.1,0.8,8,16,injection,0,True,,0.7547888247544936,0.9999946259092025,0.2558523231595317,0.5699770886149382,0.0023182147610355587,1.0,3.636982129131287e-08,242,356,0.4394479199043839,grid
0.9,0.1,0.8,8,32,injection,0,True,,0.7541446262089077,0.9999986510346026,0.255809400628343,0.5709690037397692,0.0011614504796769618,1.0,3.636982129131287e-08,482,708,0.4392235021234479,grid
0.9,0.1,0.8,12,8,injection,0,True,,0.7432415514956356,0.9999838690822984,0.19902399192757944,0.5877564188880695,0.0040163637673783165,1.0,7.117376937837446e-08,122,180,0.38460746293475506,grid
0.9,0.1,0.8,12,16,injection,0,True,,0.7421553829829824,0.9999959283461454,0.19896768852244168,0.5894291550830222,0.002017838059055236,1.0,7.117376937837446e-08,242,356,0.384271962386812,grid
0.9,0.1,0.8,12,32,injection,0,True,,0.7415852237433121,0.9999989768764622,0.19893590800494837,0.5903072779069877,0.0010114962108200831,1.0,7.117376937837446e-08,482,708,0.384093647237791,grid
0.9,0.2,0.6,8,8,injection,0,True,,0.7475154734526621,0.9999669505277141,0.29536218112725954,0.5811754898852051,0.00574896204457483,1.0,2.1629738725020755e-07,122,180,0.46988062384541285,grid
0.9,0.2,0.6,8,16,injection,0,True,,0.7459938904918605,0.9999917024716444,0.2952853811757584,0.5835182533152671,0.0028805550168371267,1.0,2.1629738725020755e-07,242,356,0.4693411236069944,grid
0.9,0.2,0.6,8,32,injection,0,True,,0.7452019954324686,0.9999979207687383,0.2952457000006303,0.5847375808890629,0.0014419554724963988,1.0,2.1629738725020755e-07,482,708,0.4690604276458692,grid
0.9,0.2,0.6,12,8,injection,0,True,,0.7317659897415549,0.999971573436533,0.1984206806720921,0.6054395824086601,0.005331732510103172,1.0,3.558137569775106e-07,122,180,0.3810479048324587,grid
0.9,0.2,0.6,12,16,injection,0,True,,0.7303569699484923,0.9999928625412741,0.19837592398555215,0.6076129345104554,0.002671611811208542,1.0,3.558137569775106e-07,242,356,0.380637936565472,grid
0.9,0.2,0.6,12,32,injection,0,True,,0.7296224448402397,0.9999982113862687,0.19835262938792098,0.608746147333375,0.001337391838744968,1.0,3.558137569775106e-07,482,708,0.3804241453884136,grid
0.9,0.2,0.7,8,8,injection,0,True,,0.7416332458161524,0.9999759009981019,0.2859701305409269,0.5902333157242913,0.004909132578542873,1.0,1.8765538103416346e-07,122,180,0.46052682453852395,grid
0.9,0.2,0.7,8,16,injection,0,True,,0.7403268155415036,0.9999939383091437,0.2858965829858064,0.5922455575665935,0.002462057594983695,1.0,1.8765538103416346e-07,242,356,0.4600618511201285,grid
0.9,0.2,0.7,8,32,injection,0,True,,0.7396448096094814,0.9999984795740867,0.285856726657786,0.5932961266818237,0.0012330564566608933,1.0,1.8765538103416346e-07,482,708,0.459817838023263,grid
0.9,0.2,0.7,12,8,injection,0,True,,0.7212227341958148,0.9999823137381849,0.18986415450526234,0.621718761442803,0.004205540943150707,1.0,3.092814275591976e-07,122,180,0.3700464087625523,grid
0.9,0.2,0.7,12,16,injection,0,True,,0.7200874689614115,0.9999955443833355,0.18981900172202815,0.6234742822907161,0.0021108378707861805,1.0,3.092814275591976e-07,242,356,0.36971108248306145,grid
0.9,0.2,0.7,12,32,injection,0,True,,0.7194916203712987,0.9999988814772846,0.18979414685970147,0.6243959099744758,0.0010576029341120535,1.0,3.092814275591976e-07,482,708,0.36953389325077457,grid
0.9,0.2,0.8,8,8,injection,0,True,,0.7380568569925983,0.9999839303942828,0.27057037384280685,0.5957425326681309,0.004008723481829221,1.0,1.602872777106168e-07,122,180,0.44687394163649147,grid
0.9,0.2,0.8,8,16,injection,0,True,,0.7369802992548173,0.9999959480213695,0.27050449395997844,0.5974013509363219,0.002012956792793698,1.0,1.602872777106168e-07,242,356,0.4464935418439978,grid
0.9,0.2,0.8,8,32,injection,0,True,,0.736416173292121,0.9999989823758064,0.2704670359253557,0.5982706812429262,0.0010087741220459472,1.0,1.602872777106168e-07,482,708,0.44629172028821357,grid
0.9,0.2,0.8,12,8,injection,0,True,,0.7263875859885058,0.9999887105047693,0.18200170323278989,0.6137389587206759,0.003360003375684142,1.0,2.714678640600403e-07,122,180,0.36359837438726633,grid
0.9,0.2,0.8,12,16,injection,0,True,,0.7254638702298537,0.9999971441688357,0.1819559366970087,0.6151653414999227,0.0016899228741249805,1.0,2.714678640600403e-07,242,356,0.3633214252525031,grid
0.9,0.2,0.8,12,32,injection,0,True,,0.7249760371489962,0.9999992815445855,0.18192977446698633,0.6159187735304575,0.0008476177974352343,1.0,2.714678640600403e-07,482,708,0.3631731363034529,grid
1.1,0.05,0.6,8,8,injection,0,True,,0.7008757060724708,0.9999772723071532,0.2900258800055505,0.6532889913926038,0.004767411184972629,1.0,2.4123374059936846e-08,122,180,0.45085706540785175,grid
1.1,0.05,0.6,8,16,injection,0,True,,0.6996970057370854,0.9999943127591264,0.2900020455607127,0.6551259817626841,0.002384800456611506,1.0,2.4123374059936846e-08,242,356,0.45045927999815977,grid
1.1,0.05,0.6,8,32,injection,0,True,,0.699086877067988,0.9999985773475315,0.2899917335957607,0.6560772658911093,0.0011927508091087865,1.0,2.4123374059936846e-08,482,708,0.450254833860773,grid
1.1,0.05,0.6,12,8,injection,0,True,,0.6944649189043584,0.9999786456606946,0.2787746563819978,0.6632929559490442,0.004621124897995916,1.0,5.424298492759988e-08,122,180,0.43999911265468983,grid
1.1,0.05,0.6,12,16,injection,0,True,,0.6933103598213276,0.9999946466986911,0.27875635351732503,0.6650981014659544,0.0023137264243786905,1.0,5.424298492759988e-08,242,356,0.43961877548573586,grid
1.1,0.05,0.6,12,32,injection,0,True,,0.6927149410106026,0.9999986597239671,0.2787475111963198,0.6660294679982232,0.001157703688077894,1.0,5.424298492759988e-08,482,708,0.4394229918600197,grid
1.1,0.05,0.7,8,8,injection,0,True,,0.7036447465017679,0.9999794991392661,0.28585375781022243,0.6489774257806638,0.004527834032672878,1.0,2.1315067239760462e-08,122,180,0.4484857800989366,grid
1.1,0.05,0.7,8,16,injection,0,True,,0.7025190175419369,0.9999948675637226,0.2858262033173656,0.6507295981916336,0.002265493901839557,1.0,2.1315067239760462e-08,242,356,0.44810528176117,grid
1.1,0.05,0.7,8,32,injection,0,True,,0.7019355263817239,0.9999987158073445,0.2858134774369801,0.6516381408897995,0.001133222972248668,1.0,2.1315067239760462e-08,482,708,0.4479091802271054,grid
1.1,0.05,0.7,12,8,injection,0,True,,0.6969950252392462,0.9999814021350494,0.27347826438877276,0.6593409359246456,0.004312564299523455,1.0,4.790612166490992e-08,122,180,0.4365924756452382,grid
1.1,0.05,0.7,12,16,injection,0,True,,0.6959105039641603,0.9999953333999827,0.2734575709644227,0.6610343284021387,0.0021602365134665825,1.0,4.790612166490992e-08,242,356,0.4362361700073328,grid
1.1,0.05,0.7,12,32,injection,0,True,,0.6953507078499206,0.999998831132274,0.27344670337987215,0.6619087712326086,0.001081142494103337,1.0,4.790612166490992e-08,482,708,0.43605201381764236,grid
1.1,0.05,0.8,8,8,injection,0,True,,0.706078719578162,0.9999820490823847,0.2760727402448258,0.6451919709181765,0.004236890352261937,1.0,1.8410764931788225e-08,122,180,0.44150774278884525,grid
1.1,0.05,0.8,8,16,injection,0,True,,0.7050201900457224,0.9999955033877306,0.2760431594918605,0.646837766123982,0.002120526465166669,1.0,1.8410764931788225e-08,242,356,0.4411530355395655,grid
1.1,0.05,0.8,8,32,injection,0,True,,0.7044708609636978,0.9999988745600501,0.2760288019417476,0.6476921556389128,0.001060868143049645,1.0,1.8410764931788225e-08,482,708,0.4409696676129561,grid
