stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.4833333333333333,0.215,0.5,0.0,0.27016033813405793,1,,3.887082196118996e-06,1.2147384129575007,0.23349873797606216,0.2323723770615546,0.9712843835061027,0.9999999999999992,0.1198240720679638,0.23213887832357855,1
coarse,0.4833333333333333,0.215,0.575,0.0,0.27016033813405793,1,,3.341872832796078e-06,1.1640201940972998,0.23735147763235237,0.23879007037714287,0.9713314378700508,0.9999999999999998,0.11972585796299227,0.23855271889951052,1
coarse,0.4833333333333333,0.215,0.6499999999999999,0.0,0.27016033813405793,1,,2.837670470934306e-06,1.1272011082219549,0.24035324893807378,0.24428639866241528,0.9712018993727013,1.0000000000000004,0.11999604290829588,0.24404604541347721,1
coarse,0.4833333333333333,0.215,0.725,0.0,0.27016033813405793,1,,2.3781036546655088e-06,1.1047421290416768,0.2423455804597614,0.2486429364321693,0.9708330270719376,1.0000000000000016,0.12076210690457351,0.24840059085170954,1
coarse,0.4833333333333333,0.215,0.7999999999999999,0.0,0.27016033813405793,1,,1.9654520831968725e-06,1.097742635929339,0.24314439857934167,0.2516821615808347,0.9701388968048629,0.999999999999999,0.12219063629250958,0.2514390171822553,1
coarse,0.4833333333333333,0.215,0.875,0.0,0.27016033813405793,1,,1.6005902275795236e-06,1.1082433542380927,0.24253094639599584,0.25329049954955357,0.9689996953715891,0.9999999999999996,0.12449960768695387,0.2530479686031576,1
coarse,0.4833333333333333,0.215,0.95,0.0,0.27016033813405793,1,,1.28300173374285e-06,1.1396887996848908,0.24023915143508984,0.25346340091757313,0.9672462214982438,0.9999999999999989,0.12797222062181307,0.25322316176613807,1
coarse,0.4833333333333333,0.27666666666666667,0.35,0.0,0.19468108947489815,1,,8.838775175878943e-06,1.365084756834797,0.21874411298432617,0.2104214076227852,0.9707359188688858,0.9999999999999987,0.12096297187799607,0.21020266350980085,1
coarse,0.4833333333333333,0.27666666666666667,0.425,0.0,0.19468108947489815,1,,7.785033903529026e-06,1.2772818628039515,0.2245397333703461,0.21862080356047553,0.9709707159562573,1.0,0.12047672813399089,0.2183962638271052,1
coarse,0.4833333333333333,0.27666666666666667,0.5,0.0,0.19468108947489815,1,,6.777493699372528e-06,1.2060494198599894,0.22962727346600387,0.22651686271396895,0.9710654844248672,1.0000000000000004,0.12027991431476265,0.22628723544050294,1
coarse,0.4833333333333333,0.27666666666666667,0.575,0.0,0.19468108947489815,1,,5.828121232509531e-06,1.1512714056846751,0.23382943663463032,0.2337194699084454,0.9709664093053963,0.9999999999999987,0.12048566448877478,0.23348564047181075,1
coarse,0.4833333333333333,0.27666666666666667,0.6499999999999999,0.0,0.19468108947489815,1,,4.946767071967173e-06,1.1131097826989544,0.23694624134211112,0.239878821767243,0.9706032244741494,1.0000000000000004,0.12123690759387429,0.2396418755259009,1
coarse,0.4833333333333333,0.27666666666666667,0.725,0.0,0.19468108947489815,1,,4.140940804364668e-06,1.0923161667891865,0.23874712104426446,0.24469672554269592,0.9698813271063391,0.9999999999999987,0.122716488080576,0.24445797842165165,1
coarse,0.4833333333333333,0.27666666666666667,0.7999999999999999,0.0,0.19468108947489815,1,,3.415619487245891e-06,1.0905951109039564,0.23896038583607715,0.24794859118119905,0.9686709636013102,1.0000000000000004,0.12515797297553655,0.24770963079536298,1
coarse,0.4833333333333333,0.27666666666666667,0.875,0.0,0.19468108947489815,1,,2.773125974409041e-06,1.111117704467478,0.23725906371361055,0.24952855515660113,0.9667926540095185,1.0000000000000004,0.1288552404647986,0.24929129609288753,1
coarse,0.4833333333333333,0.27666666666666667,0.95,0.0,0.19468108947489815,1,,2.2131310567496953e-06,1.159343386973056,0.23324153454265145,0.24953805055388584,0.963998646802684,0.9999999999999996,0.13416660016061369,0.24930480901934318,1
coarse,0.4833333333333333,0.3383333333333334,0.35,0.0,0.1279597767529359,1,,1.4836135436513409e-05,1.3719744923849169,0.21491891716445422,0.20200326147813263,0.9717971670350467,0.9999999999999992,0.1187493851877838,0.20178834256096817,1
coarse,0.4833333333333333,0.3383333333333334,0.425,0.0,0.1279597767529359,1,,1.3091021976441297e-05,1.2734982626685818,0.22146582534009202,0.21114933774151257,0.9719950020006007,0.9999999999999984,0.11833215539192782,0.21092787191617246,1
coarse,0.4833333333333333,0.3383333333333334,0.5,0.0,0.1279597767529359,1,,1.140944394761867e-05,1.194786737444938,0.2271241307813677,0.220166602994833,0.9719554451592373,1.0000000000000009,0.11841569752520843,0.21993947886405163,1
coarse,0.4833333333333333,0.3383333333333334,0.575,0.0,0.1279597767529359,1,,9.814824318277182e-06,1.135892122371831,0.2316353175768963,0.22848709357551816,0.9715924424899977,0.9999999999999993,0.1191796071272308,0.22825545825794127,1
coarse,0.4833333333333333,0.3383333333333334,0.6499999999999999,0.0,0.1279597767529359,1,,8.326721529172687e-06,1.0972023788361143,0.2347034589500576,0.23561810632716582,0.9707926974932766,1.0,0.12084556778534253,0.23538340286821577,1
coarse,0.4833333333333333,0.3383333333333334,0.725,0.0,0.1279597767529359,1,,6.96038088576767e-06,1.0799689855698318,0.235982892715168,0.24116575859423423,0.9694042009461259,1.000000000000001,0.12368467781797998,0.24092977570151905,1
coarse,0.4833333333333333,0.3383333333333334,0.7999999999999999,0.0,0.1279597767529359,1,,5.72635664808363e-06,1.0869318099898206,0.23506226079164197,0.24487918215596755,0.9672226780362589,0.9999999999999993,0.12801820566571953,0.2446441198951759,1
coarse,0.4833333333333333,0.3383333333333334,0.875,0.0,0.1279597767529359,1,,4.630249553660981e-06,1.123242803137188,0.23144410801608606,0.24673989376304845,0.9639785507510749,0.9999999999999989,0.1342040410139073,0.24650844965503235,1
coarse,0.4833333333333333,0.3383333333333334,0.95,0.0,0.1279597767529359,1,,3.672645790597784e-06,1.1980365026087085,0.22451896100322338,0.24713409672027672,0.9593334526646526,0.9999999999999996,0.14259478836084333,0.2469095777592735,1
coarse,0.4833333333333333,0.4,0.35,0.0,0.06898020752796297,1,,2.3916125774681163e-05,1.3843335395645557,0.21317982523570175,0.19006085769194747,0.9751375407803485,0.9999999999999996,0.11149542416541491,0.18984767786671178,1
coarse,0.4833333333333333,0.4,0.425,0.0,0.06898020752796297,1,,2.116219274561626e-05,1.27234908069994,0.22064355904154048,0.20083304122441079,0.9752951380662248,1.0,0.11114149075339841,0.20061239766536926,1
coarse,0.4833333333333333,0.4,0.5,0.0,0.06898020752796297,1,,1.8476410038270608e-05,1.1844929483249755,0.22692447502285285,0.2118836052009554,0.9749609445961425,1.0000000000000002,0.11189069533222566,0.21165668072593255,1
coarse,0.4833333333333333,0.4,0.575,0.0,0.06898020752796297,1,,1.5904796141774646e-05,1.1211887408780776,0.23162522999677496,0.22235142906394179,0.9739791877460912,0.9999999999999994,0.11406316726688957,0.222119803833945,1
