boundary,r_target,r_prime,beta,n_coeff,n_fock,n_quad,coeff_backend,total_time,evaluation,state_prep_method,oracle_fidelity,oracle_fidelity_basis,rel_frobenius_error,rel_spectral_error,worst_scaled_relative_error,worst_conditional_fidelity,p_min,p_max,alpha_target_re,alpha_target_im,best_fit_scale_re,best_fit_scale_im,best_fit_rel_frobenius_error,per_input,grid_index,is_best_fixed_alpha,hbar_convention
dirichlet,1.0,0.5,0.3,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,27.54350976756817,29.377229224258446,40.45146996220114,2.755997331150875e-05,0.004397863473562761,0.011244609790678576,113.56290843826905,0.0,-0.2545711701032857,9.011733926869695e-16,0.998103073449362,"[{""conditional_fidelity"": 0.014662313284386518, ""index"": 0, ""scaled_relative_error"": 40.451469962201095, ""success_probability"": 0.01124460979067856}, {""conditional_fidelity"": 2.755997331151204e-05, ""index"": 1, ""scaled_relative_error"": 17.871223507774694, ""success_probability"": 0.004397863473562763}, {""conditional_fidelity"": 2.755997331150875e-05, ""index"": 2, ""scaled_relative_error"": 17.871223507774697, ""success_probability"": 0.004397863473562761}, {""conditional_fidelity"": 0.014662313284386538, ""index"": 3, ""scaled_relative_error"": 40.45146996220114, ""success_probability"": 0.011244609790678576}]",10,False,code_hbar1
dirichlet,1.0,0.5,0.3,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,404.63762847185274,433.2915885864059,421.44333407276366,0.0004439488169265974,0.004058584076001471,0.010590727004164378,1728.8281359369057,0.0,-0.12837243505339066,1.543035058117404e-15,0.9995485877477998,"[{""conditional_fidelity"": 0.0004439488169265974, ""index"": 0, ""scaled_relative_error"": 368.7720084733378, ""success_probability"": 0.004058584076001471}, {""conditional_fidelity"": 0.0011597524342354438, ""index"": 1, ""scaled_relative_error"": 421.44333407276366, ""success_probability"": 0.010590727004164378}, {""conditional_fidelity"": 0.0011597524342354098, ""index"": 2, ""scaled_relative_error"": 421.4433340727636, ""success_probability"": 0.010590727004164368}, {""conditional_fidelity"": 0.0004439488169266038, ""index"": 3, ""scaled_relative_error"": 368.772008473338, ""success_probability"": 0.004058584076001473}]",11,False,code_hbar1
dirichlet,1.0,0.5,0.5,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.4842519187238083,0.5170804991713462,0.7120126693044189,0.714439925252531,0.006131026010652208,0.007978274209206883,5.019078523354182,0.0,3.9551162801550452,3.579301545268758e-16,0.4180697384270534,"[{""conditional_fidelity"": 0.714439925252531, ""index"": 0, ""scaled_relative_error"": 0.712012669304418, ""success_probability"": 0.006131026010652208}, {""conditional_fidelity"": 0.9131559744407484, ""index"": 1, ""scaled_relative_error"": 0.3132676139459743, ""success_probability"": 0.00797827420920688}, {""conditional_fidelity"": 0.9131559744407479, ""index"": 2, ""scaled_relative_error"": 0.3132676139459746, ""success_probability"": 0.007978274209206883}, {""conditional_fidelity"": 0.7144399252525311, ""index"": 3, ""scaled_relative_error"": 0.7120126693044189, ""success_probability"": 0.006131026010652212}]",12,False,code_hbar1
dirichlet,1.0,0.5,0.5,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,6.044142090223382,6.389485787460093,8.828408875382348,0.06508192962687562,0.000867077923200029,0.0020367980153180513,59.76419968708435,0.0,2.5028393776185447,4.691302406394599e-15,0.9653950113266936,"[{""conditional_fidelity"": 0.06508192962687562, ""index"": 0, ""scaled_relative_error"": 8.828408875382337, ""success_probability"": 0.0020367980153180483}, {""conditional_fidelity"": 0.0948660654233543, ""index"": 1, ""scaled_relative_error"": 3.97579895496619, ""success_probability"": 0.000867077923200029}, {""conditional_fidelity"": 0.09486606542335413, ""index"": 2, ""scaled_relative_error"": 3.9757989549661916, ""success_probability"": 0.0008670779232000292}, {""conditional_fidelity"": 0.06508192962687563, ""index"": 3, ""scaled_relative_error"": 8.828408875382348, ""success_probability"": 0.0020367980153180513}]",13,False,code_hbar1
dirichlet,1.0,0.5,0.5,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,149.65953507923996,160.34256395955214,155.92640885345074,0.001282194621174366,0.0023218526971263294,0.006073730997869361,844.9223063117973,0.0,0.23300548530925583,-2.5926332428876185e-15,0.9991475225753631,"[{""conditional_fidelity"": 0.001282194621174366, ""index"": 0, ""scaled_relative_error"": 136.27749015096128, ""success_probability"": 0.0023218526971263294}, {""conditional_fidelity"": 0.001917648010725151, ""index"": 1, ""scaled_relative_error"": 155.92640885345074, ""success_probability"": 0.006073730997869361}, {""conditional_fidelity"": 0.0019176480107251025, ""index"": 2, ""scaled_relative_error"": 155.9264088534507, ""success_probability"": 0.006073730997869355}, {""conditional_fidelity"": 0.001282194621174381, ""index"": 3, ""scaled_relative_error"": 136.27749015096137, ""success_probability"": 0.00232185269712633}]",14,False,code_hbar1
dirichlet,1.0,0.5,0.7,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.26807170160851174,0.2844217229525953,0.3924336605444753,0.8554517161270294,0.005978633024693353,0.011635598786836484,3.9483922057967806,0.0,3.7588492248334453,-6.976029038994593e-16,0.26362167699646344,"[{""conditional_fidelity"": 0.8554517161270295, ""index"": 0, ""scaled_relative_error"": 0.392433660544475, ""success_probability"": 0.005978633024693353}, {""conditional_fidelity"": 0.9698242223925043, ""index"": 1, ""scaled_relative_error"": 0.17536160462599096, ""success_probability"": 0.011635598786836471}, {""conditional_fidelity"": 0.9698242223925048, ""index"": 2, ""scaled_relative_error"": 0.1753616046259906, ""success_probability"": 0.011635598786836484}, {""conditional_fidelity"": 0.8554517161270294, ""index"": 3, ""scaled_relative_error"": 0.3924336605444753, ""success_probability"": 0.005978633024693353}]",15,False,code_hbar1
dirichlet,1.0,0.5,0.7,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,5.913016636476144,6.2690770636760105,8.652244073371001,0.0010975177857824963,0.0015750110847390418,0.0037400611236394305,41.8121659588391,0.0,0.4685033397521264,-1.6537533105986355e-15,0.9978166494625835,"[{""conditional_fidelity"": 0.0010975177857824963, ""index"": 0, ""scaled_relative_error"": 8.65224407337099, ""success_probability"": 0.003740061123639425}, {""conditional_fidelity"": 0.0341262283985359, ""index"": 1, ""scaled_relative_error"": 3.8724174872143675, ""success_probability"": 0.0015750110847390418}, {""conditional_fidelity"": 0.034126228398536046, ""index"": 2, ""scaled_relative_error"": 3.872417487214368, ""success_probability"": 0.0015750110847390418}, {""conditional_fidelity"": 0.0010975177857825127, ""index"": 3, ""scaled_relative_error"": 8.652244073371001, ""success_probability"": 0.0037400611236394305}]",16,False,code_hbar1
dirichlet,1.0,0.5,0.7,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,100.54063807543679,107.68555265657666,104.73152959013822,0.00021886758337922042,0.0037924587975708946,0.009905377980547806,444.1403303420183,0.0,-0.10400689837179827,1.7724120508213947e-15,0.9997229545704769,"[{""conditional_fidelity"": 0.00021886758337922042, ""index"": 0, ""scaled_relative_error"": 91.59444273431066, ""success_probability"": 0.0037924587975708946}, {""conditional_fidelity"": 0.0007523592899079248, ""index"": 1, ""scaled_relative_error"": 104.73152959013822, ""success_probability"": 0.009905377980547806}, {""conditional_fidelity"": 0.0007523592899078985, ""index"": 2, ""scaled_relative_error"": 104.7315295901382, ""success_probability"": 0.009905377980547794}, {""conditional_fidelity"": 0.00021886758337922603, ""index"": 3, ""scaled_relative_error"": 91.59444273431072, ""success_probability"": 0.0037924587975708955}]",17,False,code_hbar1
dirichlet,1.0,0.6,0.3,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,3.087073697468839,3.2616195501546374,4.544181043105971,0.030982832415528815,0.0010403199597814898,0.0021645299801442194,29.610318322180234,0.0,2.7845925830588105,1.6330891415980384e-15,0.9524112535003669,"[{""conditional_fidelity"": 0.030982832415528933, ""index"": 0, ""scaled_relative_error"": 4.544181043105966, ""success_probability"": 0.002164529980144216}, {""conditional_fidelity"": 0.22632014808925863, ""index"": 1, ""scaled_relative_error"": 1.991192487800379, ""success_probability"": 0.0010403199597814898}, {""conditional_fidelity"": 0.22632014808925885, ""index"": 2, ""scaled_relative_error"": 1.991192487800379, ""success_probability"": 0.0010403199597814898}, {""conditional_fidelity"": 0.030982832415528815, ""index"": 3, ""scaled_relative_error"": 4.544181043105971, ""success_probability"": 0.0021645299801442194}]",18,False,code_hbar1
dirichlet,1.0,0.6,0.3,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,359.0790919391419,384.7796363784314,528.8805952385696,0.0035526944697306466,0.013622050872189427,0.035660038065136096,836.2857193602314,0.0,-0.22521789080973634,2.33970871611712e-16,0.9953158826510314,"[{""conditional_fidelity"": 0.020941732380100896, ""index"": 0, ""scaled_relative_error"": 528.880595238569, ""success_probability"": 0.035660038065136034}, {""conditional_fidelity"": 0.0035526944697306744, ""index"": 1, ""scaled_relative_error"": 231.24912331648045, ""success_probability"": 0.013622050872189427}, {""conditional_fidelity"": 0.0035526944697306466, ""index"": 2, ""scaled_relative_error"": 231.2491233164805, ""success_probability"": 0.013622050872189427}, {""conditional_fidelity"": 0.02094173238010091, ""index"": 3, ""scaled_relative_error"": 528.8805952385696, ""success_probability"": 0.035660038065136096}]",19,False,code_hbar1
