time,post_prob,scale_real,scale_imag,rel_error_best_scale,rel_error_eta_calibrated,shape_fidelity
0.1875,0.17617734234332058,-0.564675117040247,-1.8694877056038067e-18,0.14748748078310392,0.2744751022008584,0.9787105431359278
0.2,0.171152940383733,-0.5656298892693894,-1.83945922379027e-18,0.1469407949294137,0.2757996099671789,0.9788647466625993
0.21250000000000002,0.1661236843404525,-0.5661496094104901,-1.8087100015981367e-18,0.14531377630633135,0.2754912500818116,0.9793205750873213
0.225,0.16115626589497675,-0.5663256141687113,-1.7792490824679005e-18,0.14279190818205323,0.27387367561033416,0.9800178966346221
0.23750000000000002,0.15631027879088463,-0.5662486974714505,-1.7524196967812227e-18,0.1395796857719102,0.27128627843801395,0.9808898250862479
0.25,0.1516357835901775,-0.5660054128918359,-1.7288988582979242e-18,0.13588816002885443,0.2680641624704996,0.9818692038489856
0.2625,0.14717178799699815,-0.5656748048249042,-1.7087544800736555e-18,0.13192115863600273,0.26451879979086096,0.9828944982372086
0.275,0.14294567832978647,-0.5653257644293539,-1.6915505609822872e-18,0.12786186461791593,0.2609215044505485,0.9839143227865329
0.28750000000000003,0.13897352567171234,-0.5650151506161852,-1.6764875426292217e-18,0.1238617147486842,0.2574916220918109,0.9848900877289903
0.30000000000000004,0.1352611044091726,-0.5647867527294166,-1.662562810209135e-18,0.12003340885109075,0.25439066348091666,0.9857966232845815
0.3125,0.13180541144292796,-0.5646711056726167,-1.6487356070369006e-18,0.11644909061116272,0.2517225985750229,0.9866210333113495
0.325,0.12859646340038483,-0.5646861055440844,-1.6340813177326529e-18,0.11314360426839172,0.2495394379940671,0.987360331219422
0.3375,0.1256191711127635,-0.5648383191650417,-1.6179219982045666e-18,0.11012154401492895,0.24785040534415742,0.9880185417460414
0.35000000000000003,0.12285513436142051,-0.5651248380306836,-1.5999229448088927e-18,0.10736607821552617,0.24663270703073636,0.9886038935776651
0.36250000000000004,0.12028425206721616,-0.5655354987548394,-1.580148686537807e-18,0.10484753991550211,0.24584217399924677,0.9891265255503433
0.375,0.11788609144892621,-0.5660552792323997,-1.5590757039847854e-18,0.10253044498043903,0.24542268477538012,0.989596870667534
0.3875,0.11564099584183607,-0.5666666823815633,-1.5375630756883675e-18,0.10037853384813325,0.2453139655145857,0.9900246599728854
0.4,0.11353093178014725,-0.5673519360968059,-1.5167858018857893e-18,0.09835817066851293,0.24545783005157662,0.990418366148049
0.41250000000000003,0.11154008369066652,-0.568094866573352,-1.4981384854197794e-18,0.09644069028495593,0.2458030580569295,0.9907849011112402
0.42500000000000004,0.10965520479905747,-0.5688823393418091,-1.4831191578397032e-18,0.09460405468214014,0.24630897300607274,0.9911294634933236
0.4375,0.10786573248131519,-0.5697052046298389,-1.4732042056875055e-18,0.09283369207946333,0.24694754664859817,0.9914555425556203
0.45,0.10616368085575234,-0.5705587273800913,-1.4697255429355024e-18,0.09112196695726084,0.2477037159213676,0.9917651627444579
