parameter,value,status,fidelity,delta_fidelity,map_err,vec_err,eta_err,post_prob,error
r_target,5.0,ok,0.9705074719808089,-0.028932413934416812,0.17146661638138117,0.17432374955769311,0.3400326940589935,0.1757883023993871,
r_target,6.0,ok,0.9408174114633482,-0.058622474451877515,0.3311616813509676,0.2508096863921374,0.5222585429544461,0.35192777069247067,
r_target,7.0,ok,0.9155179395918804,-0.08392194632334526,0.39247024784273576,0.3037727545050293,0.5285705612895629,0.19263949049107656,
r_target,8.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
r_target,9.0,ok,0.9256026717895054,-0.07383721412572031,0.32377444508251324,0.28350868646670385,0.9655037247945677,0.054108171666751456,
r_target,10.0,ok,0.48001646726452396,-0.5194234186507017,1.1013633043227273,1.040798666065137,5.340738062030911,0.03143351876205359,
n_quad,80.0,ok,0.7747972037632054,-0.22464268215202032,0.7182696961461037,0.5391292155295386,0.653976986723388,0.03283969845759292,
n_quad,120.0,ok,0.08066001864173418,-0.9187798672734915,2.6164852358146433,3.376050348327069,31.654825024857914,0.036913129178567906,
n_quad,160.0,ok,0.6774331951465197,-0.322006690768706,0.8207255690775573,0.6900437064864243,0.8305079874240482,0.03952661090731308,
n_quad,200.0,ok,0.9835509170677377,-0.015888968847488028,0.13379698373988225,0.129322002621408,0.37218750645234155,0.06486426144595048,
n_quad,240.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
n_quad,300.0,ok,0.98056457043796,-0.01887531547726573,0.15664244400914465,0.1407858389779905,0.457526869452377,0.07168878858229583,
n_coeff,24.0,ok,0.7425807855699897,-0.25685910034523596,0.7862921870540613,0.588774004103966,0.6706291604120908,0.043931047152743805,
n_coeff,32.0,ok,0.8583071482645216,-0.1411327376507041,0.4948855969318614,0.40630541070162685,0.5263870027980488,0.049378829656334555,
n_coeff,40.0,ok,0.9304837615360491,-0.06895612437917664,0.307658884774664,0.27333090100934676,0.42856087913008106,0.05500714853495514,
n_coeff,48.0,ok,0.9740132521079954,-0.025426633807230314,0.17571547893798956,0.16334036950117486,0.3661398213414786,0.06047282751874493,
n_coeff,56.0,ok,0.994503622863287,-0.004936263051938727,0.07843467011583573,0.07434214324649056,0.3452015998911115,0.06602436128304695,
n_coeff,64.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
n_fock,64.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
n_fock,80.0,ok,0.9977134004894211,-0.001726485425804558,0.0725105374763786,0.04787316608364248,0.19823739690862843,0.055208808535187656,
n_fock,96.0,ok,0.9679565918069674,-0.03148329410825834,0.18338623958559014,0.18194553830958862,0.19588354794816615,0.044024181483853154,
total_time,0.2,ok,0.9788647466625995,-0.020575139252626218,0.1350953432916878,0.14694079492941373,0.2757996099671797,0.17115294038373322,
total_time,0.5,ok,0.9928681998124557,-0.006571686102770036,0.10744772018654933,0.08475274690980278,0.25191368765937444,0.10013918228250929,
total_time,0.8,ok,0.9980564055055218,-0.00138348040970393,0.05031686325289842,0.044129122021392485,0.31061687582492875,0.0799877923870885,
total_time,1.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
total_time,1.2,ok,0.9942014590559363,-0.005238426859289436,0.08024678047244367,0.07636989015991394,0.4234188024499881,0.06541613961788822,
total_time,1.5,ok,0.9931542588169767,-0.00628562709824898,0.0987337580928741,0.08302366160771373,0.48583742175239203,0.055711787563683654,
