boundary_condition,parameter,fidelity,x,median,q25,q75,count
neumann,r_prime,0.9995599473437278,4.35,0.9344146590762998,0.904290897759805,0.9668744796694625,128
neumann,r_prime,0.9967181501569283,4.5,0.9094500774988538,0.8643046849773302,0.9800245367136592,128
neumann,beta,0.9997155021219948,0.3,0.9175559301453509,0.8222861296376642,0.9693654243474668,96
neumann,beta,0.9986606056317948,0.5,0.9187072879944526,0.7977598890135904,0.9726126075165524,96
neumann,beta,0.9987390011281068,0.6,0.9175532745135285,0.7940079511831755,0.9710905540553383,96
neumann,beta,0.998657732923855,0.675,0.9188835741216538,0.79399585229907,0.9722391118505737,96
neumann,beta,0.9986568965705166,0.725,0.9189456467897619,0.7939958515702599,0.9722543150294828,96
neumann,beta,0.9986568965562167,0.75,0.9189457337412649,0.7939958515702572,0.9722543173641859,96
neumann,beta,0.9986568965562318,0.8,0.9189457338322446,0.7939958515702601,0.9722543173644653,96
neumann,beta,0.9986568965562305,0.9,0.9189457338309988,0.7939958515483363,0.9722543173644664,96
periodic,r_target,0.9817508309183217,7.8,0.893438014390451,0.8270579964166168,0.9302734908263679,96
periodic,r_target,0.9867138771593121,7.9,0.8948784057988982,0.8295899026759219,0.9444878755209201,96
periodic,r_target,0.9928705288873114,8.0,0.8935940330545168,0.8182669427969425,0.9542011898609297,96
periodic,r_target,0.9997249405374592,8.1,0.8669979463925404,0.794338700870361,0.9581939064862244,96
periodic,r_target,0.9983162030122569,8.16,0.8751945567866972,0.7581590929022319,0.9574786048530564,96
periodic,r_target,0.9948104075512032,8.2,0.8814425051505379,0.7326062892022001,0.9639023268529838,96
periodic,r_target,0.9991669828220496,8.3,0.8397878378685127,0.6660109971360784,0.9649102511534379,96
periodic,r_target,0.9992956504319845,8.4,0.8173738624936704,0.6046049662116483,0.9562175012829732,96
periodic,r_prime,0.9867138771593121,4.0,0.7589707108476078,0.5204037673607929,0.867007577207371,128
periodic,r_prime,0.9997249405374592,4.1,0.906323722112667,0.6359219203790797,0.9801066176520654,128
periodic,r_prime,0.9988829730306867,4.19,0.9158068772523253,0.7308742780474531,0.9752735294955067,128
