r_target,r_prime,beta,fidelity,map_error,post_prob,eta_error,objective
0.7149285714285715,0.1368181818181818,0.99,0.8067166206542411,0.576735434045225,0.5352407143258695,0.9634345189397946,1.002398456228049
0.5721428571428572,0.40945454545454546,0.9022222222222223,0.8100229769045797,0.5656392484623539,0.5027491559488229,0.9306145590119212,1.0042416935833627
0.2865714285714286,0.1368181818181818,0.2877777777777778,0.8059315768964695,0.5928985285692654,0.5633753889474404,1.1017341463726809,1.0052792571990756
0.5721428571428572,0.1368181818181818,0.7266666666666668,0.7987764800412277,0.5925663750408179,0.5747125358802209,1.014723797701534,1.0064336270594798
0.5721428571428572,0.0005,0.5511111111111111,0.7989031134596599,0.5965649520477561,0.57483423002701,1.038671596851604,1.010244723574591
0.5721428571428572,0.5457727272727272,0.99,0.8347113873716039,0.5184774113022564,0.34199671065510223,0.8115367605506058,1.0127676686031015
0.5721428571428572,0.2731363636363636,0.8144444444444445,0.7965204203534837,0.5917009213047805,0.561831930310843,0.9982584023675578,1.0142645357958753
0.4293571428571429,0.0005,0.2877777777777778,0.7988331154507872,0.6023494871360295,0.5780150679612032,1.085384901870013,1.0145088377046407
0.7149285714285715,0.0005,0.8144444444444445,0.7971877560979368,0.5947457235196679,0.5516045078160845,1.0111052293318585,1.0217557135136888
0.4293571428571429,0.1368181818181818,0.4633333333333334,0.7908253827127698,0.6098629812683811,0.5894472789610732,1.082325843315891,1.0243139590750747
0.5721428571428572,0.5457727272727272,0.9022222222222223,0.814351355815629,0.5527749271121325,0.42573949303396436,0.8861988883756347,1.0255538247795213
0.7149285714285715,0.1368181818181818,0.9022222222222223,0.7909301915304096,0.6010536319177473,0.5625773516197038,1.0118936953404183,1.0288347645774858
0.7149285714285715,0.2731363636363636,0.99,0.793710389194661,0.5931682072040042,0.540908812229394,0.9835055724094987,1.0290034118946463
0.5721428571428572,0.0005,0.4633333333333334,0.7862214215242799,0.6162339852423068,0.5876235443296796,1.080366253030569,1.036200791553187
0.4293571428571429,0.2731363636363636,0.5511111111111111,0.7838091031813814,0.6159630740183064,0.5906352327833772,1.0819448450802684,1.0368363544452364
0.5721428571428572,0.1368181818181818,0.638888888888889,0.7824125907712949,0.6178015882163818,0.5956833743453105,1.0673162726419252,1.0375473102724317
0.5721428571428572,0.40945454545454546,0.8144444444444445,0.786240331436649,0.603079480044874,0.5509388945681049,1.0080417930911298,1.0413697013241725
0.7149285714285715,0.0005,0.7266666666666668,0.7849934954077878,0.613389203821791,0.5688068686137204,1.0491828761192719,1.043992274107143
0.4293571428571429,0.0005,0.2,0.7857526478794133,0.6229735019970318,0.5854776439292834,1.13183714874679,1.0444820321529769
0.2865714285714286,0.1368181818181818,0.2,0.7884408590425335,0.6211326508776374,0.5692436559895475,1.1692688100865,1.0480699638403301
0.5721428571428572,0.2731363636363636,0.7266666666666668,0.7760986883158573,0.6231028778577193,0.5927754525336886,1.0635816929615818,1.0506164632750177
0.5721428571428572,0.5457727272727272,0.8144444444444445,0.7909216259945706,0.5906782106238762,0.49750993282091865,0.9687357829726265,1.0510016182188462
0.4293571428571429,0.40945454545454546,0.5511111111111111,0.7787107916733916,0.6194698745768654,0.5794651986174398,1.0881480621805808,1.0510264835947538
0.7149285714285715,0.1368181818181818,0.8144444444444445,0.7752447698847232,0.624797313005201,0.5875612362173669,1.0603578939574547,1.0557719250117943
0.7149285714285715,0.40945454545454546,0.99,0.7852149064448117,0.6021891737573505,0.5217733708150628,0.9881749602374397,1.0560875819050073
0.2865714285714286,0.2731363636363636,0.2877777777777778,0.7881862103232955,0.6173023080211173,0.5417340280927093,1.1726333692864033,1.058249083651467
0.7149285714285715,0.2731363636363636,0.9022222222222223,0.7740650198530502,0.6229929097101535,0.5774573870326088,1.0439260090655071,1.0601991963407988
0.4293571428571429,0.1368181818181818,0.3755555555555556,0.7737336733252504,0.6363934683030307,0.6029162136558837,1.1414334960503698,1.0612016881498385
0.5721428571428572,0.0005,0.3755555555555556,0.7735251913103007,0.6356816397228553,0.5988061366941839,1.1225774136114717,1.0627533800654625
0.7149285714285715,0.0005,0.638888888888889,0.7728447165429814,0.6317457302448306,0.584462456931002,1.087444428777607,1.0666697852363483
0.5721428571428572,0.1368181818181818,0.5511111111111111,0.7660335378451789,0.642661960478693,0.6143001651984638,1.1205446805838408,1.0694783400342822
0.8577142857142858,0.0005,0.99,0.7801536371648046,0.6168509517301922,0.5320452871271515,1.0372719861541235,1.0706746710018118
0.4293571428571429,0.2731363636363636,0.4633333333333334,0.762235612821952,0.6492404862226157,0.6105651211793753,1.1566526955057743,1.081722312810976
0.5721428571428572,0.40945454545454546,0.7266666666666668,0.76194131336882,0.6402769208786834,0.5927121742178469,1.087247937792743,1.08197952040094
0.7149285714285715,0.1368181818181818,0.7266666666666668,0.7596727430165975,0.6480547271298179,0.6102582173911933,1.1089656136648722,1.0832528754176238
0.8577142857142858,0.1368181818181818,0.99,0.7664522964908811,0.6347711719033948,0.5662097669144698,1.0645851614811275,1.0852139919552788
0.7149285714285715,0.5457727272727272,0.99,0.7828283440652528,0.6014457339567192,0.46673221416279354,0.9714396935186651,1.0852512828100696
0.5721428571428572,0.5457727272727272,0.7266666666666668,0.7651984074461959,0.6309329828079383,0.5578908464012925,1.0577182351336083,1.0867891521610962
0.5721428571428572,0.2731363636363636,0.638888888888889,0.7556219756812951,0.6539978341918349,0.6200003402146896,1.1298005221487526,1.088375688403195
0.8577142857142858,0.0005,0.9022222222222223,0.7686167421598741,0.6340441777763278,0.551589805896093,1.07227959430115,1.0896325326684073
